id_num,program_type,program_id,program_duration,test_id,test_type,difficulty_level,trainee_id,gender,education,city_tier,age,total_programs_enrolled,is_handicapped,trainee_engagement_rating,is_pass
11440_30,T,T_3,134,30,online,easy,11440,F,Matriculation,2,44,2,N,1,1
3774_10,T,T_4,120,10,offline,easy,3774,F,High School Diploma,3,28,2,N,1,1
12289_97,V,V_1,133,97,offline,hard,12289,M,Matriculation,4,26,2,N,3,1
16028_182,Z,Z_1,136,182,online,easy,16028,,Matriculation,1,45,1,N,1,1
973_4,S,S_2,134,4,offline,hard,973,M,Bachelors,1,41,2,N,3,1
6556_115,Y,Y_4,121,115,offline,hard,6556,M,High School Diploma,1,,2,N,5,1
16303_157,Y,Y_1,136,157,online,easy,16303,M,High School Diploma,4,42,4,N,4,0
16421_154,Y,Y_1,136,154,online,easy,16421,M,High School Diploma,1,,2,N,2,1
18847_43,T,T_1,131,43,offline,easy,18847,F,Bachelors,4,45,2,N,3,1
9231_25,T,T_3,134,25,offline,intermediate,9231,F,High School Diploma,1,45,2,N,5,1
17979_61,U,U_1,134,61,online,easy,17979,M,High School Diploma,2,48,5,N,2,1
9705_80,V,V_3,131,80,offline,easy,9705,F,Matriculation,1,45,2,N,2,1
2872_105,X,X_2,121,105,offline,intermediate,2872,M,Matriculation,1,23,1,N,2,1
8914_133,Y,Y_3,135,133,online,easy,8914,M,High School Diploma,1,,2,N,3,1
6065_70,V,V_4,122,70,offline,intermediate,6065,M,High School Diploma,3,,2,Y,2,1
8741_46,T,T_1,131,46,offline,hard,8741,F,High School Diploma,1,42,2,N,4,1
11517_167,Z,Z_3,130,167,online,easy,11517,F,Matriculation,3,,1,N,1,1
15836_95,V,V_1,133,95,offline,easy,15836,M,Matriculation,2,43,2,N,2,0
1137_41,T,T_2,117,41,online,easy,1137,F,High School Diploma,3,,2,N,2,1
3488_39,T,T_2,117,39,online,easy,3488,F,Matriculation,1,,2,N,1,1
15577_95,V,V_1,133,95,offline,easy,15577,M,Matriculation,1,38,4,Y,2,1
10784_61,U,U_1,134,61,online,easy,10784,M,High School Diploma,1,,2,N,2,1
2410_52,U,U_2,122,52,online,easy,2410,F,Bachelors,4,,2,N,2,1
15933_184,Z,Z_1,136,184,online,easy,15933,M,High School Diploma,1,45,1,Y,2,1
9051_61,U,U_1,134,61,,easy,9051,M,Matriculation,1,,,N,2,0
6055_70,V,V_4,122,70,offline,intermediate,6055,F,High School Diploma,1,,2,N,4,0
6650_127,Y,Y_3,135,127,offline,,6650,M,Matriculation,2,43,2,,5,1
15428_64,U,U_1,134,64,online,easy,15428,M,High School Diploma,2,,3,N,1,0
18693_125,Y,Y_3,135,125,offline,intermediate,18693,M,Bachelors,,27,2,N,4,0
6669_12,T,T_4,120,12,offline,intermediate,6669,F,Matriculation,4,30,2,N,1,0
8105_102,X,X_3,136,,offline,hard,8105,M,High School Diploma,2,26,2,N,2,0
6577_27,T,T_3,134,27,online,easy,6577,F,High School Diploma,4,30,2,N,1,1
19227_22,T,T_3,134,22,offline,intermediate,19227,F,High School Diploma,3,45,4,N,1,1
1809_126,Y,Y_3,135,126,offline,intermediate,1809,M,High School Diploma,2,40,2,N,5,1
433_37,T,T_2,117,37,offline,intermediate,433,F,High School Diploma,3,28,4,N,1,1
14548_58,U,U_1,134,58,offline,intermediate,14548,M,Bachelors,1,,4,N,2,1
4500_41,T,T_2,117,41,online,easy,4500,F,Matriculation,3,29,7,N,1,1
1524_51,U,U_2,122,51,offline,intermediate,1524,M,High School Diploma,3,43,1,N,2,1
7535_103,X,,136,103,offline,hard,7535,M,Bachelors,1,48,2,,3,1
17027_95,V,V_1,133,95,offline,easy,17027,F,High School Diploma,1,,4,Y,1,1
14325_56,U,U_2,122,56,offline,vary hard,14325,F,High School Diploma,1,46,2,N,4,1
14427_176,Z,Z_2,120,176,online,easy,14427,F,Matriculation,2,43,1,N,1,1
14645_109,X,X_1,134,109,offline,intermediate,14645,M,High School Diploma,2,24,1,N,2,1
1017_76,V,V_4,122,76,online,easy,1017,M,Matriculation,3,,2,Y,4,1
7501_14,T,T_4,120,14,offline,intermediate,7501,F,Bachelors,2,29,4,N,1,1
2624_28,T,T_3,134,28,online,easy,2624,F,High School Diploma,1,,6,N,2,1
4792_12,T,T_4,120,12,offline,intermediate,4792,F,Matriculation,2,32,4,N,1,1
14133_152,Y,Y_1,136,152,offline,hard,14133,M,Bachelors,2,29,2,N,4,1
11194_110,,X_1,134,110,offline,hard,11194,M,High School Diploma,2,32,2,N,5,1
6418_16,T,T_4,120,16,online,easy,6418,F,Matriculation,3,,2,N,5,1
13765_61,U,U_1,134,61,online,easy,13765,,High School Diploma,3,,6,N,1,1
16537_109,X,X_1,134,109,offline,intermediate,16537,M,Bachelors,3,25,1,N,1,0
14649_41,T,T_2,117,41,online,easy,14649,F,Matriculation,4,29,2,N,1,0
5488_85,V,V_3,131,85,offline,intermediate,5488,M,Matriculation,2,,2,N,1,0
16037_109,X,X_1,134,109,offline,intermediate,16037,F,High School Diploma,3,31,2,N,3,1
19101_21,T,T_3,134,21,offline,easy,19101,F,High School Diploma,2,43,2,N,2,1
14799_155,Y,Y_1,136,155,online,easy,14799,M,Bachelors,3,46,2,N,5,1
2456_130,Y,Y_3,135,130,online,easy,2456,M,Matriculation,1,27,4,N,2,1
14739_45,T,T_1,131,45,offline,intermediate,14739,M,Matriculation,2,34,2,N,1,0
16751_60,U,U_1,134,60,offline,intermediate,16751,F,Bachelors,2,,1,N,1,0
19195_160,Y,Y_1,136,160,online,easy,19195,M,Bachelors,1,56,2,N,5,1
18191_132,Y,Y_3,135,132,online,easy,18191,M,Bachelors,1,47,3,N,4,1
1133_52,U,U_2,122,52,online,easy,1133,M,Bachelors,1,47,1,N,2,0
19911_83,V,V_3,131,83,offline,intermediate,19911,F,High School Diploma,3,28,2,N,2,0
20071_58,U,U_1,134,58,offline,intermediate,20071,M,Matriculation,4,,4,N,2,0
14592_145,Y,Y_2,120,145,online,easy,14592,M,Matriculation,1,,2,N,2,0
18400_61,U,U_1,134,61,online,easy,18400,F,High School Diploma,3,45,2,N,2,1
17193_43,T,T_1,131,43,offline,easy,17193,M,Matriculation,3,42,2,N,1,0
10598_58,U,U_1,134,,offline,intermediate,10598,M,High School Diploma,2,,2,N,2,1
11341_168,Z,Z_3,130,168,online,easy,11341,F,High School Diploma,1,47,1,Y,1,1
19033_16,T,T_4,120,16,online,easy,19033,F,,2,33,4,N,1,1
1303_119,Y,Y_4,121,119,online,easy,1303,M,Matriculation,2,38,3,N,2,1
2397_173,Z,Z_2,120,173,online,easy,2397,F,High School Diploma,4,25,2,N,1,1
5868_94,V,V_1,133,94,offline,easy,5868,M,Bachelors,3,42,2,N,2,1
18827_184,Z,Z_1,136,184,online,,18827,F,High School Diploma,1,43,1,N,1,1
6220_69,V,V_4,122,69,offline,intermediate,6220,M,High School Diploma,3,,2,N,1,1
14389_39,T,T_2,117,39,online,easy,14389,M,High School Diploma,1,,2,N,1,1
1_5,S,S_1,135,5,offline,easy,1,M,Bachelors,1,56,2,N,4,0
19386_34,T,T_2,117,34,offline,intermediate,19386,F,Matriculation,4,46,4,Y,1,0
2027_55,U,U_2,122,55,online,easy,2027,M,Bachelors,3,,1,N,2,1
10680_149,Y,Y_1,136,149,offline,intermediate,10680,M,High School Diploma,1,,2,N,,1
8206_62,U,U_1,134,62,online,easy,8206,M,High School Diploma,1,28,7,N,1,0
2915_36,T,T_2,117,36,offline,intermediate,2915,F,Matriculation,2,28,4,Y,2,1
10022_86,V,V_3,131,86,offline,vary hard,10022,M,High School Diploma,1,25,4,N,2,0
2485_107,X,X_2,121,107,offline,hard,2485,M,High School Diploma,1,22,1,N,1,1
13078_143,Y,Y_2,120,143,online,easy,13078,M,Matriculation,2,,2,N,3,1
17820_93,V,V_2,121,93,offline,vary hard,17820,M,Bachelors,1,59,2,N,3,1
14934_97,V,V_1,133,97,offline,hard,14934,M,High School Diploma,3,43,2,N,1,1
11804_82,V,V_3,131,82,offline,intermediate,11804,M,High School Diploma,3,,4,N,1,1
4297_155,Y,Y_1,136,155,online,easy,4297,M,Matriculation,2,45,2,Y,4,0
13300_53,U,U_2,122,53,online,easy,13300,M,Bachelors,3,,2,N,1,1
9221_158,Y,Y_1,136,158,online,easy,9221,M,High School Diploma,3,29,3,N,4,1
8604_23,T,T_3,134,23,offline,intermediate,8604,F,High School Diploma,3,,2,Y,2,1
14990_111,X,X_1,134,111,offline,hard,14990,M,High School Diploma,,,2,N,4,1
2555_62,U,U_1,134,62,online,easy,,M,High School Diploma,2,56,2,N,4,1
8516_84,V,V_3,131,84,offline,intermediate,8516,M,High School Diploma,2,42,4,N,2,0
7536_27,T,T_3,134,27,online,easy,7536,M,High School Diploma,1,45,2,N,2,1
3814_78,V,V_4,122,78,online,easy,3814,F,Matriculation,2,,2,N,3,1
1101_151,Y,Y_1,136,151,offline,hard,1101,F,High School Diploma,1,,3,N,3,1
34_63,U,U_1,134,63,online,easy,34,M,High School Diploma,1,28,1,N,2,1
13610_34,T,T_2,117,34,offline,intermediate,13610,F,High School Diploma,3,28,4,N,1,0
18205_119,Y,Y_4,121,119,online,easy,18205,M,Matriculation,2,49,3,N,4,1
346_10,T,T_4,120,10,offline,,346,M,High School Diploma,3,43,3,N,2,1
5354_54,U,U_2,122,54,online,easy,5354,M,Matriculation,1,,2,N,1,0
13436_47,T,T_1,131,47,,hard,13436,F,Matriculation,2,47,2,Y,5,0
9655_21,T,T_3,134,21,offline,easy,9655,F,High School Diploma,2,26,2,N,1,1
19740_166,Z,Z_3,130,166,online,easy,19740,F,Matriculation,2,41,1,N,2,1
6886_125,Y,Y_3,135,125,offline,intermediate,6886,M,Masters,1,,2,N,3,1
16677_96,V,V_1,133,96,offline,easy,16677,F,Matriculation,3,28,4,N,2,0
11607_31,T,T_3,134,31,online,easy,11607,F,Matriculation,3,,2,N,1,0
14362_87,V,V_2,121,87,offline,easy,14362,F,High School Diploma,1,28,2,N,1,1
4295_121,Y,Y_4,121,121,online,easy,4295,M,Matriculation,1,,4,Y,4,1
14459_182,Z,Z_1,136,182,online,easy,14459,F,Matriculation,3,43,1,N,2,0
648_99,V,V_1,133,99,offline,hard,648,M,High School Diploma,1,45,2,Y,1,0
4499_80,V,V_3,131,80,offline,easy,4499,M,Matriculation,1,25,,N,1,0
739_103,X,X_3,136,103,offline,hard,739,M,High School Diploma,2,22,2,N,3,1
5431_73,V,V_4,122,73,online,easy,5431,F,High School Diploma,1,43,2,N,3,0
16497_160,Y,Y_1,136,160,online,easy,16497,M,Bachelors,1,,4,N,4,1
13074_61,U,U_1,134,61,online,easy,13074,M,High School Diploma,1,,2,Y,2,1
15992_160,Y,Y_1,136,160,online,easy,15992,M,High School Diploma,2,43,2,N,4,1
10696_167,Z,Z_3,130,167,online,easy,10696,M,Matriculation,2,,1,N,2,0
4251_115,Y,Y_4,121,115,offline,hard,4251,M,Matriculation,2,,2,N,4,1
964_27,T,T_3,134,27,online,easy,964,F,Matriculation,1,22,2,N,1,1
13244_49,U,U_2,122,49,offline,intermediate,13244,M,Bachelors,3,,1,N,4,1
15008_43,T,T_1,131,43,offline,easy,15008,F,High School Diploma,3,41,4,N,3,1
7784_14,T,T_4,120,14,offline,intermediate,7784,F,Matriculation,1,42,2,N,2,1
8312_125,Y,Y_3,135,125,offline,intermediate,8312,M,High School Diploma,1,,2,N,5,1
14118_94,V,V_1,133,94,offline,easy,14118,F,Matriculation,1,33,3,,1,1
3050_121,Y,Y_4,121,121,online,easy,3050,M,Matriculation,3,29,4,N,4,0
11955_29,T,T_3,134,29,online,easy,11955,M,Matriculation,1,,2,N,1,1
15238_109,X,X_1,134,109,offline,intermediate,15238,M,High School Diploma,1,32,3,N,2,1
709_133,Y,Y_3,135,133,online,easy,709,M,Matriculation,,,5,N,4,1
3817_74,V,V_4,,74,online,easy,3817,M,Matriculation,3,40,2,N,3,1
5142_54,U,U_2,122,54,online,easy,,F,Matriculation,3,,1,Y,4,1
14517_87,V,V_2,121,87,offline,easy,14517,M,High School Diploma,1,,2,N,1,1
7087_16,T,T_4,120,16,online,easy,7087,F,Matriculation,4,23,2,N,1,1
9741_169,Z,Z_3,130,169,online,easy,9741,M,,3,,1,N,1,0
12006_29,T,T_3,134,29,online,easy,12006,F,High School Diploma,2,41,2,N,1,0
15338_153,Y,Y_1,136,153,offline,hard,15338,M,High School Diploma,1,,4,N,4,1
1300_47,,T_1,131,47,offline,hard,1300,F,High School Diploma,3,,2,N,3,0
11845_58,U,U_1,134,58,offline,intermediate,11845,M,Masters,1,,2,N,2,1
3169_66,V,V_4,122,66,offline,easy,3169,F,High School Diploma,3,45,2,Y,2,1
19611_137,Y,Y_2,120,137,offline,intermediate,19611,M,High School Diploma,3,21,3,N,1,1
13924_150,Y,Y_1,136,150,offline,intermediate,13924,M,High School Diploma,3,27,2,N,4,1
10676_137,Y,Y_2,120,137,offline,intermediate,10676,M,High School Diploma,3,,4,N,4,1
18474_154,Y,Y_1,136,154,online,easy,18474,M,Matriculation,1,45,2,N,5,1
14154_40,T,T_2,117,40,online,easy,14154,F,High School Diploma,3,27,2,N,1,1
14975_149,Y,Y_1,136,149,offline,intermediate,14975,F,High School Diploma,1,28,4,N,4,1
12508_170,Z,Z_2,120,170,offline,easy,12508,F,High School Diploma,3,,1,N,1,0
9532_125,Y,Y_3,135,125,offline,intermediate,,M,High School Diploma,1,,2,Y,4,1
7749_121,Y,Y_4,121,121,online,easy,7749,M,Matriculation,,,2,N,5,1
17280_61,U,U_1,134,61,online,easy,17280,M,,1,56,4,N,5,1
11642_130,Y,Y_3,135,130,online,easy,11642,M,No Qualification,3,18,5,N,2,1
7842_16,T,T_4,,16,online,easy,7842,F,High School Diploma,3,,2,N,2,1
6490_26,T,T_3,134,26,offline,intermediate,6490,F,High School Diploma,2,42,2,N,3,1
16261_152,Y,Y_1,136,152,offline,hard,16261,F,High School Diploma,3,,2,N,4,1
7418_10,T,T_4,120,10,offline,easy,7418,F,Matriculation,2,,2,N,1,0
4806_114,Y,Y_4,121,114,offline,intermediate,4806,F,Matriculation,3,,2,N,5,1
6784_87,V,V_2,121,87,offline,easy,6784,M,Matriculation,2,29,2,N,1,0
248_55,U,U_2,122,55,online,easy,248,M,Bachelors,3,42,1,N,1,1
2097_149,Y,Y_1,136,149,offline,intermediate,2097,M,High School Diploma,1,24,4,N,1,1
822_100,V,V_1,133,100,offline,vary hard,822,M,High School Diploma,1,31,3,N,1,0
7257_174,Z,Z_2,120,174,online,easy,7257,M,Matriculation,,,1,N,1,1
3702_130,Y,Y_3,135,130,online,easy,3702,M,High School Diploma,3,28,6,N,1,0
19879_20,T,T_4,120,20,online,,19879,F,High School Diploma,1,45,4,N,1,1
4012_51,U,U_2,122,51,offline,intermediate,4012,M,Matriculation,2,,2,N,5,0
2865_108,X,X_2,121,108,offline,hard,2865,M,Bachelors,1,,3,N,2,1
2019_143,Y,Y_2,120,143,online,easy,2019,M,Bachelors,1,46,2,N,4,1
756_20,T,T_4,120,20,online,easy,756,M,High School Diploma,3,,2,N,2,1
13685_160,Y,Y_1,136,160,online,easy,13685,M,Matriculation,4,,3,N,5,1
17418_96,V,V_1,133,96,offline,easy,17418,M,High School Diploma,1,,4,N,2,1
8229_110,X,X_1,134,110,offline,hard,8229,M,High School Diploma,4,33,3,N,2,1
13521_147,Y,Y_2,120,147,online,easy,13521,M,Matriculation,3,42,2,N,4,1
956_13,T,T_4,120,13,offline,intermediate,956,F,Matriculation,3,27,2,N,1,1
14906_182,Z,Z_1,136,182,online,easy,14906,M,Matriculation,3,31,1,N,1,1
9855_31,T,T_3,134,31,online,easy,9855,F,High School Diploma,3,,6,N,3,1
4465_17,T,T_4,120,17,online,easy,4465,,Matriculation,2,,4,N,1,1
7414_67,V,V_4,122,67,offline,easy,7414,M,Bachelors,1,45,2,Y,2,1
11087_141,Y,Y_2,120,141,offline,hard,11087,M,High School Diploma,1,44,2,N,4,1
5168_23,T,T_3,134,23,offline,intermediate,5168,F,High School Diploma,3,,4,N,2,0
8272_134,Y,Y_3,135,134,online,easy,8272,M,Matriculation,4,25,2,N,4,1
6269_117,Y,Y_4,121,117,offline,hard,6269,F,High School Diploma,2,30,4,N,3,1
3711_17,T,T_4,120,17,online,easy,3711,F,Matriculation,2,,2,N,1,1
14477_63,U,U_1,134,63,online,,14477,F,High School Diploma,3,29,2,N,2,1
14193_92,V,V_2,121,92,offline,intermediate,14193,M,High School Diploma,4,,2,N,5,1
5898_88,V,V_2,121,88,offline,intermediate,5898,M,Matriculation,1,,2,N,,1
19457_114,Y,Y_4,121,114,offline,intermediate,19457,F,Matriculation,3,47,3,Y,3,1
663_137,Y,Y_2,120,137,offline,intermediate,663,M,Bachelors,3,28,2,N,4,1
16474_182,Z,Z_1,136,182,online,easy,16474,F,High School Diploma,3,25,1,N,1,1
8443_125,Y,Y_3,135,125,offline,intermediate,8443,M,Matriculation,3,47,2,N,5,0
3095_80,V,V_3,131,80,offline,easy,3095,M,High School Diploma,3,31,2,N,2,1
1851_34,T,T_2,117,34,offline,intermediate,1851,F,High School Diploma,,,2,N,1,1
17871_136,Y,Y_3,135,136,online,easy,17871,M,Bachelors,1,42,4,N,5,1
17163_46,T,T_1,131,46,offline,hard,17163,M,High School Diploma,3,,2,N,1,0
1349_61,U,U_1,134,61,online,easy,1349,F,High School Diploma,3,,3,N,1,1
4718_14,T,T_4,120,14,offline,intermediate,4718,M,High School Diploma,3,,4,N,1,1
9269_128,Y,Y_3,135,128,offline,hard,9269,F,Matriculation,1,48,3,N,5,1
12549_39,T,T_2,117,39,online,easy,12549,M,High School Diploma,2,32,2,N,1,1
6740_71,V,V_4,122,71,offline,intermediate,6740,M,Matriculation,1,28,2,Y,1,0
3829_12,T,T_4,120,12,offline,intermediate,3829,F,Bachelors,3,28,2,N,5,1
2281_69,V,V_4,122,69,offline,intermediate,2281,M,Bachelors,2,,3,N,1,1
7978_165,Z,Z_3,130,165,online,easy,7978,F,Matriculation,2,44,1,N,1,1
12767_62,U,U_1,134,62,online,easy,12767,M,High School Diploma,1,28,2,N,1,1
7948_76,V,V_4,122,76,online,easy,7948,M,High School Diploma,3,,2,N,2,1
8822_146,Y,Y_2,120,146,online,easy,8822,F,Bachelors,3,43,4,N,4,1
5041_121,Y,Y_4,121,121,online,easy,5041,M,Bachelors,4,46,3,N,4,0
11986_22,T,T_3,134,22,offline,intermediate,11986,F,High School Diploma,3,,2,N,2,1
3094_5,S,S_1,135,5,offline,easy,3094,F,Matriculation,3,,6,Y,1,0
7408_120,Y,Y_4,121,120,online,easy,7408,M,Matriculation,1,,2,N,5,1
14380_171,Z,Z_2,120,171,offline,easy,14380,M,Matriculation,1,43,1,N,1,1
7837_19,T,T_4,120,19,online,easy,7837,F,High School Diploma,3,44,2,N,3,1
7046_69,V,V_4,122,69,offline,intermediate,7046,M,Matriculation,1,30,2,N,3,1
12933_174,Z,Z_2,120,174,online,easy,12933,F,Matriculation,3,44,1,Y,4,1
2535_70,V,V_4,122,70,offline,intermediate,2535,F,High School Diploma,1,,3,N,,0
3018_177,Z,Z_2,120,177,online,easy,3018,F,High School Diploma,2,46,2,N,2,1
2904_127,Y,Y_3,135,127,offline,hard,2904,M,Matriculation,3,23,4,N,3,1
10005_28,T,T_3,134,28,online,easy,10005,F,High School Diploma,3,,2,N,2,1
8821_130,Y,Y_3,135,130,online,easy,8821,M,Matriculation,1,24,4,,1,1
16821_180,Z,Z_1,136,180,offline,easy,16821,F,High School Diploma,1,,1,N,1,1
16002_155,Y,Y_1,136,,online,easy,16002,M,High School Diploma,3,,4,N,3,1
16939_159,Y,Y_1,136,159,online,easy,16939,F,High School Diploma,4,,4,N,4,1
9851_59,U,U_1,134,59,offline,intermediate,9851,M,High School Diploma,1,46,2,N,2,1
3900_149,Y,Y_1,136,149,offline,intermediate,3900,M,High School Diploma,1,,3,N,2,1
1294_137,Y,Y_2,120,137,offline,intermediate,1294,M,Matriculation,2,,3,N,2,1
19607_4,S,S_2,134,4,offline,hard,19607,M,Bachelors,1,56,2,N,5,1
11025_170,Z,Z_2,120,170,offline,easy,11025,F,High School Diploma,3,,1,N,1,0
7801_10,T,T_4,120,10,offline,easy,7801,F,High School Diploma,4,33,2,N,1,1
6787_116,,Y_4,121,116,offline,hard,6787,M,High School Diploma,4,,2,Y,3,0
4876_114,Y,Y_4,121,,offline,intermediate,4876,M,Matriculation,3,,2,Y,3,0
9692_151,Y,Y_1,136,151,offline,hard,9692,M,Matriculation,1,,3,Y,3,1
17920_109,X,X_1,134,109,offline,intermediate,17920,F,Matriculation,2,56,1,N,4,1
12493_21,T,T_3,134,21,offline,,12493,F,High School Diploma,3,48,2,N,1,1
19161_43,T,T_1,131,43,offline,easy,19161,F,Matriculation,3,49,2,N,1,1
6167_11,T,T_4,120,11,offline,intermediate,6167,F,High School Diploma,,29,4,N,1,0
14979_43,T,T_1,131,43,offline,easy,14979,F,Matriculation,3,35,2,N,1,0
4628_127,Y,Y_3,135,127,offline,hard,4628,M,Bachelors,1,43,3,N,5,1
10372_55,U,U_2,122,55,online,easy,10372,M,High School Diploma,1,28,2,N,3,1
15507_100,V,,133,100,offline,vary hard,15507,M,High School Diploma,1,,2,N,1,0
1397_68,V,V_4,122,68,offline,intermediate,1397,F,High School Diploma,2,45,4,N,2,1
7979_16,T,T_4,120,16,online,easy,,F,Bachelors,2,,4,N,2,1
7354_116,Y,Y_4,121,116,offline,hard,7354,F,High School Diploma,2,,2,N,5,1
9646_49,U,U_2,122,49,offline,intermediate,9646,M,,1,28,2,N,3,1
18061_117,Y,Y_4,121,117,offline,hard,18061,M,High School Diploma,2,46,3,N,3,1
16587_154,Y,Y_1,136,154,online,easy,16587,F,High School Diploma,1,28,2,N,4,1
12391_146,Y,Y_2,120,146,online,easy,12391,M,Matriculation,3,,2,N,3,0
2643_114,Y,Y_4,121,114,offline,intermediate,2643,M,High School Diploma,2,44,3,N,4,0
15521_95,V,V_1,133,95,offline,easy,15521,M,Bachelors,1,,2,N,2,1
15658_156,Y,Y_1,136,156,online,easy,15658,M,Bachelors,2,27,2,N,4,1
199_87,V,V_2,,87,offline,easy,199,M,Matriculation,2,,6,N,1,1
19788_63,U,U_1,134,63,online,easy,19788,M,High School Diploma,4,,2,N,2,1
11334_97,V,V_1,133,97,offline,hard,11334,F,Matriculation,1,47,2,N,4,0
18978_100,V,V_1,133,100,offline,vary hard,18978,M,High School Diploma,3,42,2,N,3,0
5088_97,V,V_1,133,97,offline,hard,5088,M,High School Diploma,3,47,2,N,1,1
8211_31,T,T_3,134,31,online,easy,8211,F,High School Diploma,3,27,2,N,1,1
9765_129,Y,Y_3,135,129,offline,hard,9765,,High School Diploma,2,49,3,N,5,1
14706_43,T,T_1,131,43,offline,easy,14706,F,High School Diploma,1,30,2,N,4,0
11983_128,Y,Y_3,135,128,offline,hard,11983,M,Matriculation,3,45,6,N,5,0
7110_79,V,V_4,122,79,online,easy,7110,F,High School Diploma,2,,3,N,,0
8201_86,V,V_3,131,86,offline,vary hard,8201,F,Matriculation,3,,2,N,4,1
8068_38,T,T_2,117,38,online,easy,8068,F,Matriculation,3,32,2,N,1,1
1705_129,Y,Y_3,135,129,offline,hard,1705,F,High School Diploma,1,24,2,N,4,1
8743_29,T,T_3,134,29,online,easy,8743,F,High School Diploma,3,,4,N,1,1
17874_140,Y,Y_2,120,140,offline,hard,17874,M,Bachelors,2,48,3,N,3,0
6529_82,V,V_3,131,82,offline,intermediate,6529,F,Matriculation,3,28,10,Y,2,1
15306_153,Y,Y_1,136,153,offline,hard,15306,M,High School Diploma,1,,5,N,4,1
18867_126,Y,Y_3,135,126,offline,intermediate,18867,M,Matriculation,1,,4,Y,5,1
8418_136,Y,Y_3,135,136,,easy,8418,F,Matriculation,3,,6,Y,5,0
2528_119,Y,Y_4,121,119,online,easy,2528,F,High School Diploma,2,,4,N,5,1
19857_43,T,T_1,131,43,offline,easy,19857,F,Bachelors,3,46,2,N,4,0
16156_94,V,V_1,133,94,offline,easy,16156,F,Matriculation,3,44,2,N,2,1
11786_135,Y,Y_3,135,135,online,easy,11786,F,Matriculation,3,30,3,N,5,1
6382_13,T,T_4,120,13,offline,intermediate,6382,F,High School Diploma,2,26,4,N,4,1
3716_61,U,U_1,134,61,online,easy,3716,M,Bachelors,4,46,1,N,1,1
8544_57,U,U_1,134,57,offline,easy,8544,F,Bachelors,2,43,2,N,2,1
1600_81,V,V_3,131,81,offline,,1600,M,Bachelors,1,49,2,N,,0
18165_53,U,U_2,122,53,online,easy,18165,M,High School Diploma,1,45,3,N,2,1
10211_81,V,V_3,131,81,offline,intermediate,10211,M,Bachelors,3,,2,N,2,1
12012_125,Y,Y_3,135,125,offline,intermediate,12012,M,High School Diploma,3,46,3,,3,0
753_51,U,U_2,122,51,offline,intermediate,753,M,Matriculation,2,31,2,N,2,1
10857_162,Z,Z_3,130,162,offline,easy,10857,F,Matriculation,4,,1,Y,1,1
